rank,player_id,batting_runs_per_600_pa,projected_core_run_value_per_event
1,605141,34.25417050230935,0.05967427145300143
2,608324,29.41149625488086,0.05138726186200444
3,608070,28.292289087706727,0.04947202246021943
4,650333,27.78464844952356,0.04860332417029468
5,663656,26.83648865943506,0.04698078987743616
6,543760,25.31678499170336,0.04438020085369886
7,527038,24.770928129917207,0.04344610564847144
8,643393,23.811909858209503,0.041804990022736306
9,488726,23.770720794078305,0.04173450414565262
10,686469,23.104423629367416,0.0405943055614171
11,518692,22.892247442092668,0.040231218809258576
12,670623,22.363862524375637,0.0393270240269958
13,641487,21.6950524462763,0.03818252294083627
14,643446,20.55813178378918,0.036236973610674725
15,680757,20.553939948357352,0.03622979947557185
16,660688,20.22550260842691,0.03566776296706396
17,453568,18.80013964196711,0.03322861563324756
18,670541,17.716083308222027,0.03137352675110025
19,660670,17.613588603635857,0.03119813394711165
20,571448,17.54439011856589,0.031079716615512547
